#語	出現回数	TF
%	41	0.0997566910
天然記念物	16	0.0389294404
E	16	0.0389294404
地	13	0.0316301703
県	11	0.0267639903
指定	9	0.0218978102
市	9	0.0218978102
A	9	0.0218978102
生息	8	0.0194647202
[	8	0.0194647202
]	8	0.0194647202
両生類	7	0.0170316302
爬虫類	7	0.0170316302
編集	7	0.0170316302
9	7	0.0170316302
4	6	0.0145985401
8	6	0.0145985401
1	5	0.0121654501
オオサンショウウオ	5	0.0121654501
7	5	0.0121654501
特別	4	0.0097323601
2	4	0.0097323601
.	4	0.0097323601
5	4	0.0097323601
町	4	0.0097323601
B	4	0.0097323601
一覧	3	0.0072992701
:	3	0.0072992701
基準	3	0.0072992701
繁殖	3	0.0072992701
文化財	3	0.0072992701
関連	3	0.0072992701
カジカガエル	3	0.0072992701
ウミガメ	3	0.0072992701
-	3	0.0072992701
日本	2	0.0048661800
文部	2	0.0048661800
科学	2	0.0048661800
大臣	2	0.0048661800
うち	2	0.0048661800
もの	2	0.0048661800
リスト	2	0.0048661800
動物	2	0.0048661800
種	2	0.0048661800
等	2	0.0048661800
対象	2	0.0048661800
3	2	0.0048661800
項目	2	0.0048661800
参考	2	0.0048661800
文献	2	0.0048661800
外部	2	0.0048661800
リンク	2	0.0048661800
岐阜	2	0.0048661800
郡上	2	0.0048661800
岡山	2	0.0048661800
真庭	2	0.0048661800
山口	2	0.0048661800
モリアオガエル	2	0.0048661800
郡	2	0.0048661800
御前崎	2	0.0048661800
産卵	2	0.0048661800
史跡	2	0.0048661800
名勝	2	0.0048661800
6	2	0.0048661800
出典	1	0.0024330900
フリー	1	0.0024330900
百科	1	0.0024330900
事典	1	0.0024330900
ウィキペディア	1	0.0024330900
Wikipedia	1	0.0024330900
移動	1	0.0024330900
ナビゲーション	1	0.0024330900
検索	1	0.0024330900
以下	1	0.0024330900
同	1	0.0024330900
掲載	1	0.0024330900
項	1	0.0024330900
保護	1	0.0024330900
法	1	0.0024330900
国	1	0.0024330900
日本国	1	0.0024330900
地方自治体	1	0.0024330900
外	1	0.0024330900
目次	1	0.0024330900
表示	1	0.0024330900
オオサンショウウオ	1	0.0024330900
和良	1	0.0024330900
八幡	1	0.0024330900
大和	1	0.0024330900
大分	1	0.0024330900
宇佐	1	0.0024330900
湯原	1	0.0024330900
南桑	1	0.0024330900
岩国	1	0.0024330900
モリアオガエル	1	0.0024330900
大揚沼	1	0.0024330900
岩手	1	0.0024330900
八幡平	1	0.0024330900
平伏	1	0.0024330900
沼	1	0.0024330900
福島	1	0.0024330900
双葉	1	0.0024330900
川内	1	0.0024330900
村	1	0.0024330900
アオダイショウ	1	0.0024330900
岩国	1	0.0024330900
シロヘビ	1	0.0024330900
アカ	1	0.0024330900
静岡	1	0.0024330900
大浜	1	0.0024330900
海岸	1	0.0024330900
徳島	1	0.0024330900
海部	1	0.0024330900
美波	1	0.0024330900
キシノウエトカゲ	1	0.0024330900
クサガメ	1	0.0024330900
見島	1	0.0024330900
カメ	1	0.0024330900
萩	1	0.0024330900
セマルハコガメ	1	0.0024330900
リュウキュウヤマガメ	1	0.0024330900
レッド	1	0.0024330900
加藤	1	0.0024330900
睦	1	0.0024330900
奥	1	0.0024330900
雄	1	0.0024330900
ら	1	0.0024330900
監修	1	0.0024330900
講談社	1	0.0024330900
1995	1	0.0024330900
年	1	0.0024330900
ISBN	1	0.0024330900
06	1	0.0024330900
180589	1	0.0024330900
文化庁	1	0.0024330900
国	1	0.0024330900
データベース	1	0.0024330900
国宝	1	0.0024330900
重要	1	0.0024330900
http	1	0.0024330900
://	1	0.0024330900
ja	1	0.0024330900
wikipedia	1	0.0024330900
org	1	0.0024330900
/	1	0.0024330900
wiki	1	0.0024330900
/%	1	0.0024330900
94	1	0.0024330900
F	1	0.0024330900
83	1	0.0024330900
BB	1	0.0024330900
88	1	0.0024330900
AC	1	0.0024330900
99	1	0.0024330900
AB	1	0.0024330900
84	1	0.0024330900
98	1	0.0024330900
BF	1	0.0024330900
89	1	0.0024330900
80	1	0.0024330900
作成	1	0.0024330900
カテゴリ	1	0.0024330900
|	1	0.0024330900
