#語	出現回数	TF
学	45	0.0945378151
人類	38	0.0798319328
経済	35	0.0735294118
社会	14	0.0294117647
年	12	0.0252100840
訳	11	0.0231092437
文化	10	0.0210084034
市場	6	0.0126050420
的	5	0.0105042017
研究	5	0.0105042017
生態	4	0.0084033613
者	4	0.0084033613
主義	4	0.0084033613
環境	4	0.0084033613
カール	4	0.0084033613
慎一郎	4	0.0084033613
栗本	4	0.0084033613
贈与	3	0.0063025210
影響	3	0.0063025210
化	3	0.0063025210
学者	3	0.0063025210
出版	3	0.0063025210
理論	3	0.0063025210
編集	3	0.0063025210
民族	3	0.0063025210
システム	3	0.0063025210
交易	3	0.0063025210
編	3	0.0063025210
一	2	0.0042016807
東洋経済新報社	2	0.0042016807
人間	2	0.0042016807
玉野井	2	0.0042016807
西太平洋	2	0.0042016807
一般	2	0.0042016807
もの	2	0.0042016807
制	2	0.0042016807
昶	2	0.0042016807
局	2	0.0042016807
農家	2	0.0042016807
芳郎	2	0.0042016807
関係	2	0.0042016807
岩波書店	2	0.0042016807
分野	2	0.0042016807
航海	2	0.0042016807
植民	2	0.0042016807
法政大学	2	0.0042016807
遠洋	2	0.0042016807
概念	2	0.0042016807
家族	2	0.0042016807
関連	2	0.0042016807
問題	2	0.0042016807
筑摩書房	2	0.0042016807
時代	2	0.0042016807
地	2	0.0042016807
山内	2	0.0042016807
資本	2	0.0042016807
彼	2	0.0042016807
フィールドワーク	2	0.0042016807
建彦	2	0.0042016807
交換	2	0.0042016807
野口	2	0.0042016807
英語	2	0.0042016807
農業	2	0.0042016807
稀	1	0.0021008403
ダグラス	1	0.0021008403
順	1	0.0021008403
相対	1	0.0021008403
ちく	1	0.0021008403
文庫	1	0.0021008403
史家	1	0.0021008403
メディア	1	0.0021008403
けい	1	0.0021008403
利用	1	0.0021008403
行動	1	0.0021008403
学芸	1	0.0021008403
クラ	1	0.0021008403
モーリス	1	0.0021008403
もと	1	0.0021008403
造	1	0.0021008403
中央公論社	1	0.0021008403
性	1	0.0021008403
対象	1	0.0021008403
現象	1	0.0021008403
中	1	0.0021008403
原口	1	0.0021008403
港	1	0.0021008403
概要	1	0.0021008403
移動	1	0.0021008403
長期間	1	0.0021008403
財貨	1	0.0021008403
様式	1	0.0021008403
作成	1	0.0021008403
吾	1	0.0021008403
