#語	出現回数	TF
年	37	0.0680147059
足利	35	0.0643382353
室町	16	0.0294117647
御所	15	0.0275735294
花	14	0.0257352941
将軍	12	0.0220588235
通	10	0.0183823529
町	10	0.0183823529
家	10	0.0183823529
義満	8	0.0147058824
今出川	7	0.0128676471
幕府	7	0.0128676471
邸宅	7	0.0128676471
時代	6	0.0110294118
殿	6	0.0110294118
敷地	5	0.0091911765
代	5	0.0091911765
現在	5	0.0091911765
岡松	5	0.0091911765
公家	5	0.0091911765
京都	5	0.0091911765
ため	4	0.0073529412
北小路	4	0.0073529412
二	4	0.0073529412
亭	4	0.0073529412
内	4	0.0073529412
義詮	4	0.0073529412
永	3	0.0055147059
義持	3	0.0055147059
大聖寺	3	0.0055147059
南北	3	0.0055147059
邸	3	0.0055147059
よう	3	0.0055147059
政権	3	0.0055147059
崇	3	0.0055147059
烏丸	3	0.0055147059
光	3	0.0055147059
条	3	0.0055147059
元年	3	0.0055147059
上皇	3	0.0055147059
編集	3	0.0055147059
跡	3	0.0055147059
市	2	0.0036764706
氏	2	0.0036764706
東西	2	0.0036764706
もの	2	0.0036764706
菊亭	2	0.0036764706
北小路室	2	0.0036764706
将軍家	2	0.0036764706
ここ	2	0.0036764706
同志社大学	2	0.0036764706
三条	2	0.0036764706
義輝	2	0.0036764706
場所	2	0.0036764706
事	2	0.0036764706
居所	2	0.0036764706
献上	2	0.0036764706
義政	2	0.0036764706
義教	2	0.0036764706
戦乱	2	0.0036764706
武家	2	0.0036764706
その後	2	0.0036764706
当時	2	0.0036764706
材	2	0.0036764706
正	2	0.0036764706
焼失	2	0.0036764706
坊門	2	0.0036764706
禄	2	0.0036764706
造営	2	0.0036764706
文	2	0.0036764706
義稙	2	0.0036764706
義	2	0.0036764706
江戸	2	0.0036764706
のち	2	0.0036764706
それ	2	0.0036764706
名前	2	0.0036764706
一	1	0.0018382353
頃	1	0.0018382353
宣子	1	0.0018382353
年号	1	0.0018382353
倉	1	0.0018382353
三	1	0.0018382353
尊	1	0.0018382353
土御門	1	0.0018382353
倍	1	0.0018382353
手狭	1	0.0018382353
明	1	0.0018382353
完成	1	0.0018382353
再興	1	0.0018382353
詩歌	1	0.0018382353
新築	1	0.0018382353
不和	1	0.0018382353
校	1	0.0018382353
上立売	1	0.0018382353
後醍醐天皇	1	0.0018382353
師	1	0.0018382353
設立	1	0.0018382353
北山	1	0.0018382353
水	1	0.0018382353
移動	1	0.0018382353
尼	1	0.0018382353
作成	1	0.0018382353
事典	1	0.0018382353
版	1	0.0018382353
移転	1	0.0018382353
前	1	0.0018382353
顕	1	0.0018382353
デモンストレーション	1	0.0018382353
フリー	1	0.0018382353
由来	1	0.0018382353
衛	1	0.0018382353
義勝	1	0.0018382353
場合	1	0.0018382353
町屋	1	0.0018382353
規模	1	0.0018382353
買上げ	1	0.0018382353
表	1	0.0018382353
鹿苑寺	1	0.0018382353
の	1	0.0018382353
応仁	1	0.0018382353
正門	1	0.0018382353
乱	1	0.0018382353
話	1	0.0018382353
関係	1	0.0018382353
門跡	1	0.0018382353
叔母	1	0.0018382353
陶	1	0.0018382353
職	1	0.0018382353
大通り	1	0.0018382353
向かい側	1	0.0018382353
用語	1	0.0018382353
南部	1	0.0018382353
洛中	1	0.0018382353
遺構	1	0.0018382353
桃山	1	0.0018382353
日野	1	0.0018382353
対立	1	0.0018382353
沿革	1	0.0018382353
花木	1	0.0018382353
近く	1	0.0018382353
円融天皇	1	0.0018382353
管領	1	0.0018382353
中期	1	0.0018382353
これ	1	0.0018382353
消失	1	0.0018382353
建物	1	0.0018382353
度	1	0.0018382353
暦	1	0.0018382353
正室	1	0.0018382353
庭	1	0.0018382353
出典	1	0.0018382353
移住	1	0.0018382353
安土	1	0.0018382353
奥行き	1	0.0018382353
一品	1	0.0018382353
息子	1	0.0018382353
町人	1	0.0018382353
裏	1	0.0018382353
関連	1	0.0018382353
高	1	0.0018382353
以北	1	0.0018382353
就任	1	0.0018382353
征夷大将軍	1	0.0018382353
守護	1	0.0018382353
形成	1	0.0018382353
広がり	1	0.0018382353
北朝	1	0.0018382353
歴史	1	0.0018382353
直	1	0.0018382353
廃止	1	0.0018382353
義澄	1	0.0018382353
延	1	0.0018382353
寒梅	1	0.0018382353
・	1	0.0018382353
国	1	0.0018382353
呼称	1	0.0018382353
再任	1	0.0018382353
通称	1	0.0018382353
再建	1	0.0018382353
関白	1	0.0018382353
戦火	1	0.0018382353
広大	1	0.0018382353
名残	1	0.0018382353
現存	1	0.0018382353
諸国	1	0.0018382353
しょ	1	0.0018382353
北	1	0.0018382353
会	1	0.0018382353
以南	1	0.0018382353
百科	1	0.0018382353
朝	1	0.0018382353
斯波	1	0.0018382353
以東	1	0.0018382353
館	1	0.0018382353
嘉吉	1	0.0018382353
収蔵	1	0.0018382353
地	1	0.0018382353
別邸	1	0.0018382353
区	1	0.0018382353
元	1	0.0018382353
尊氏	1	0.0018382353
何	1	0.0018382353
洛外	1	0.0018382353
義量	1	0.0018382353
非難	1	0.0018382353
永和	1	0.0018382353
御苑	1	0.0018382353
季	1	0.0018382353
武	1	0.0018382353
文明	1	0.0018382353
公	1	0.0018382353
隣接	1	0.0018382353
後見	1	0.0018382353
天授	1	0.0018382353
義栄	1	0.0018382353
天文	1	0.0018382353
延徳	1	0.0018382353
山城	1	0.0018382353
長	1	0.0018382353
死後	1	0.0018382353
跡地	1	0.0018382353
使用	1	0.0018382353
寝殿	1	0.0018382353
安	1	0.0018382353
検索	1	0.0018382353
社会	1	0.0018382353
項目	1	0.0018382353
義尚	1	0.0018382353
寺院	1	0.0018382353
鴨川	1	0.0018382353
各地	1	0.0018382353
御所八幡	1	0.0018382353
小規模	1	0.0018382353
義昭	1	0.0018382353
カテゴリ	1	0.0018382353
商い	1	0.0018382353
辻	1	0.0018382353
上杉本	1	0.0018382353
蹴鞠	1	0.0018382353
位置	1	0.0018382353
小路	1	0.0018382353
大名	1	0.0018382353
配置	1	0.0018382353
はな	1	0.0018382353
内裏	1	0.0018382353
四季	1	0.0018382353
幾度	1	0.0018382353
たち	1	0.0018382353
義晴	1	0.0018382353
編	1	0.0018382353
上京	1	0.0018382353
半分	1	0.0018382353
錦織	1	0.0018382353
