#x, y_1, y_2
0.000000, 5.000000, 1.000000
0.010000, 4.950000, 1.040000
0.020000, 4.894560, 1.081080
0.030000, 4.833709, 1.123183
0.040000, 4.767509, 1.166243
0.050000, 4.696056, 1.210181
0.060000, 4.619485, 1.254910
0.070000, 4.537963, 1.300331
0.080000, 4.451697, 1.346337
0.090000, 4.360926, 1.392808
0.100000, 4.265927, 1.439619
0.110000, 4.167006, 1.486636
0.120000, 4.064501, 1.533718
0.130000, 3.958777, 1.580719
0.140000, 3.850222, 1.627489
0.150000, 3.739240, 1.673876
0.160000, 3.626255, 1.719727
0.170000, 3.511695, 1.764892
0.180000, 3.395996, 1.809220
0.190000, 3.279593, 1.852569
0.200000, 3.162915, 1.894800
0.210000, 3.046380, 1.935783
0.220000, 2.930394, 1.975397
0.230000, 2.815341, 2.013530
0.240000, 2.701584, 2.050082
0.250000, 2.589462, 2.084966
0.260000, 2.479283, 2.118106
0.270000, 2.371327, 2.149439
0.280000, 2.265843, 2.178915
0.290000, 2.163047, 2.206496
0.300000, 2.063126, 2.232159
0.310000, 1.966231, 2.255890
0.320000, 1.872488, 2.277687
0.330000, 1.781989, 2.297559
0.340000, 1.694803, 2.315526
0.350000, 1.610968, 2.331614
0.360000, 1.530502, 2.345860
0.370000, 1.453402, 2.358305
0.380000, 1.379643, 2.368997
0.390000, 1.309185, 2.377991
0.400000, 1.241972, 2.385343
0.410000, 1.177935, 2.391115
0.420000, 1.116997, 2.395370
0.430000, 1.059068, 2.398172
0.440000, 1.004055, 2.399589
0.450000, 0.951856, 2.399686
0.460000, 0.902369, 2.398530
0.470000, 0.855485, 2.396189
0.480000, 0.811098, 2.392726
0.490000, 0.769098, 2.388206
0.500000, 0.729377, 2.382692
0.510000, 0.691828, 2.376244
0.520000, 0.656346, 2.368921
0.530000, 0.622828, 2.360780
0.540000, 0.591174, 2.351876
0.550000, 0.561286, 2.342260
0.560000, 0.533072, 2.331985
0.570000, 0.506440, 2.321096
0.580000, 0.481303, 2.309640
0.590000, 0.457580, 2.297660
0.600000, 0.435191, 2.285197
0.610000, 0.414060, 2.272290
0.620000, 0.394115, 2.258976
0.630000, 0.375289, 2.245289
0.640000, 0.357515, 2.231262
0.650000, 0.340734, 2.216927
0.660000, 0.324888, 2.202311
0.670000, 0.309920, 2.187443
0.680000, 0.295781, 2.172348
0.690000, 0.282420, 2.157050
0.700000, 0.269793, 2.141571
0.710000, 0.257855, 2.125933
0.720000, 0.246567, 2.110156
0.730000, 0.235889, 2.094257
0.740000, 0.225787, 2.078255
0.750000, 0.216225, 2.062165
0.760000, 0.207173, 2.046002
0.770000, 0.198600, 2.029781
0.780000, 0.190479, 2.013514
0.790000, 0.182782, 1.997214
0.800000, 0.175486, 1.980893
0.810000, 0.168567, 1.964560
0.820000, 0.162004, 1.948226
0.830000, 0.155775, 1.931900
0.839999, 0.149863, 1.915590
0.849999, 0.144248, 1.899305
0.859999, 0.138913, 1.883052
0.869999, 0.133844, 1.866837
0.879999, 0.129025, 1.850667
0.889999, 0.124442, 1.834548
0.899999, 0.120082, 1.818486
0.909999, 0.115933, 1.802485
0.919999, 0.111982, 1.786550
0.929999, 0.108220, 1.770685
0.939999, 0.104636, 1.754894
0.949999, 0.101220, 1.739181
0.959999, 0.097963, 1.723550
0.969999, 0.094857, 1.708003
0.979999, 0.091894, 1.692543
0.989999, 0.089066, 1.677173
0.999999, 0.086366, 1.661895
1.009999, 0.083787, 1.646711
1.019999, 0.081323, 1.631624
1.029999, 0.078969, 1.616634
1.039999, 0.076719, 1.601745
1.049999, 0.074567, 1.586956
1.059999, 0.072508, 1.572270
1.069999, 0.070538, 1.557687
1.079999, 0.068652, 1.543209
1.089999, 0.066847, 1.528837
1.099999, 0.065118, 1.514570
1.109999, 0.063462, 1.500411
1.119999, 0.061874, 1.486359
1.129999, 0.060353, 1.472415
1.139999, 0.058894, 1.458579
1.149999, 0.057495, 1.444853
1.159999, 0.056153, 1.431235
1.169999, 0.054865, 1.417726
1.179999, 0.053628, 1.404327
1.189999, 0.052442, 1.391037
1.199999, 0.051302, 1.377856
1.209999, 0.050207, 1.364784
1.219999, 0.049156, 1.351821
1.229999, 0.048146, 1.338968
1.239999, 0.047174, 1.326223
1.249999, 0.046241, 1.313586
1.259999, 0.045344, 1.301058
1.269999, 0.044481, 1.288637
1.279999, 0.043651, 1.276324
1.289999, 0.042852, 1.264118
1.299999, 0.042084, 1.252018
1.309999, 0.041345, 1.240025
1.319999, 0.040634, 1.228137
1.329999, 0.039950, 1.216355
1.339999, 0.039291, 1.204678
1.349999, 0.038657, 1.193104
1.359999, 0.038046, 1.181634
1.369999, 0.037458, 1.170268
1.379999, 0.036892, 1.159003
1.389999, 0.036348, 1.147841
1.399999, 0.035823, 1.136780
1.409999, 0.035318, 1.125819
1.419999, 0.034831, 1.114959
1.429999, 0.034363, 1.104197
1.439999, 0.033912, 1.093535
1.449999, 0.033477, 1.082970
1.459999, 0.033059, 1.072503
1.469999, 0.032657, 1.062132
1.479999, 0.032269, 1.051858
1.489999, 0.031896, 1.041679
1.499999, 0.031538, 1.031594
1.509999, 0.031192, 1.021604
1.519999, 0.030860, 1.011706
1.529999, 0.030541, 1.001902
1.539999, 0.030234, 0.992189
1.549999, 0.029938, 0.982567
1.559999, 0.029655, 0.973035
1.569999, 0.029382, 0.963593
1.579999, 0.029120, 0.954241
1.589999, 0.028869, 0.944976
1.599999, 0.028628, 0.935799
1.609999, 0.028397, 0.926709
1.619999, 0.028175, 0.917705
1.629999, 0.027963, 0.908787
1.639999, 0.027760, 0.899953
1.649999, 0.027566, 0.891203
1.659999, 0.027380, 0.882537
1.669999, 0.027203, 0.873953
1.679999, 0.027034, 0.865451
1.689999, 0.026872, 0.857031
1.699999, 0.026719, 0.848691
1.709999, 0.026573, 0.840431
1.719999, 0.026435, 0.832250
1.729999, 0.026303, 0.824147
1.739999, 0.026179, 0.816122
1.749999, 0.026062, 0.808175
1.759999, 0.025951, 0.800304
1.769999, 0.025847, 0.792508
1.779999, 0.025749, 0.784788
1.789999, 0.025658, 0.777142
1.799999, 0.025573, 0.769570
1.809999, 0.025494, 0.762071
1.819999, 0.025421, 0.754645
1.829999, 0.025354, 0.747290
1.839999, 0.025293, 0.740007
1.849999, 0.025237, 0.732794
1.859999, 0.025187, 0.725651
1.869999, 0.025142, 0.718577
1.879999, 0.025103, 0.711572
1.889999, 0.025069, 0.704635
1.899999, 0.025041, 0.697765
1.909999, 0.025018, 0.690963
1.919999, 0.024999, 0.684226
1.929999, 0.024986, 0.677555
1.939999, 0.024978, 0.670948
1.949998, 0.024975, 0.664406
1.959998, 0.024976, 0.657928
1.969998, 0.024983, 0.651513
1.979998, 0.024994, 0.645161
1.989998, 0.025011, 0.638871
1.999998, 0.025031, 0.632642
2.009999, 0.025057, 0.626474
2.019999, 0.025087, 0.620366
2.029999, 0.025122, 0.614318
2.039999, 0.025161, 0.608329
2.049999, 0.025205, 0.602399
2.059999, 0.025254, 0.596527
2.069999, 0.025307, 0.590712
2.079998, 0.025365, 0.584954
2.089998, 0.025427, 0.579253
2.099998, 0.025494, 0.573608
2.109998, 0.025565, 0.568018
2.119998, 0.025641, 0.562483
2.129998, 0.025721, 0.557003
2.139998, 0.025805, 0.551576
2.149998, 0.025894, 0.546202
2.159998, 0.025988, 0.540882
2.169998, 0.026086, 0.535614
2.179998, 0.026189, 0.530397
2.189998, 0.026296, 0.525232
2.199998, 0.026407, 0.520118
2.209998, 0.026523, 0.515054
2.219998, 0.026644, 0.510040
2.229998, 0.026769, 0.505076
2.239998, 0.026899, 0.500160
2.249998, 0.027033, 0.495293
2.259998, 0.027172, 0.490474
2.269998, 0.027316, 0.485702
2.279998, 0.027464, 0.480978
2.289998, 0.027617, 0.476300
2.299998, 0.027775, 0.471669
2.309998, 0.027937, 0.467083
2.319998, 0.028105, 0.462543
2.329998, 0.028277, 0.458047
2.339998, 0.028454, 0.453597
2.349998, 0.028636, 0.449190
2.359998, 0.028822, 0.444826
2.369998, 0.029014, 0.440506
2.379998, 0.029211, 0.436229
