#語	出現回数	TF
電池	17	0.0821256039
型	8	0.0386473430
ガム	7	0.0338164251
サイズ	7	0.0338164251
乾電池	6	0.0289855072
ニッケル	5	0.0241545894
採用	5	0.0241545894
ソニー	5	0.0241545894
次	4	0.0193236715
さ	4	0.0193236715
開発	4	0.0193236715
発売	4	0.0193236715
メーカー	4	0.0193236715
カドミウム	3	0.0144927536
二	3	0.0144927536
蓄電池	3	0.0144927536
本体	3	0.0144927536
編集	3	0.0144927536
以降	2	0.0096618357
ため	2	0.0096618357
ポータブル	2	0.0096618357
携帯	2	0.0096618357
主	2	0.0096618357
容量	2	0.0096618357
プレーヤー	2	0.0096618357
小型	2	0.0096618357
減少	2	0.0096618357
充電	2	0.0096618357
池	2	0.0096618357
水素	2	0.0096618357
主流	2	0.0096618357
年	2	0.0096618357
使用	2	0.0096618357
制約	2	0.0096618357
ランニング	2	0.0096618357
欠点	2	0.0096618357
コスト	2	0.0096618357
仕様	2	0.0096618357
一	1	0.0048309179
ケース	1	0.0048309179
利用	1	0.0048309179
ワイヤレス	1	0.0048309179
外	1	0.0048309179
百科	1	0.0048309179
当初	1	0.0048309179
縦	1	0.0048309179
一種	1	0.0048309179
性	1	0.0048309179
用	1	0.0048309179
もの	1	0.0048309179
厚み	1	0.0048309179
概要	1	0.0048309179
移動	1	0.0048309179
再生	1	0.0048309179
作成	1	0.0048309179
その後	1	0.0048309179
事典	1	0.0048309179
当時	1	0.0048309179
幅	1	0.0048309179
通常	1	0.0048309179
オーディオ	1	0.0048309179
フリー	1	0.0048309179
内蔵	1	0.0048309179
の	1	0.0048309179
付け	1	0.0048309179
関係	1	0.0048309179
方向	1	0.0048309179
方式	1	0.0048309179
多く	1	0.0048309179
互換	1	0.0048309179
ばらつき	1	0.0048309179
ゆえ	1	0.0048309179
シャープ	1	0.0048309179
円筒	1	0.0048309179
検索	1	0.0048309179
入手	1	0.0048309179
奥行	1	0.0048309179
イオン	1	0.0048309179
ごと	1	0.0048309179
対応	1	0.0048309179
項目	1	0.0048309179
規格	1	0.0048309179
時間	1	0.0048309179
多数	1	0.0048309179
これ	1	0.0048309179
リチウム	1	0.0048309179
カテゴリ	1	0.0048309179
殆ど	1	0.0048309179
軽減	1	0.0048309179
各社	1	0.0048309179
出典	1	0.0048309179
レシーバー	1	0.0048309179
為	1	0.0048309179
パナソニック	1	0.0048309179
ステレオ	1	0.0048309179
近年	1	0.0048309179
マン	1	0.0048309179
関連	1	0.0048309179
問題	1	0.0048309179
モデル	1	0.0048309179
存在	1	0.0048309179
一部	1	0.0048309179
年代	1	0.0048309179
現在	1	0.0048309179
電源	1	0.0048309179
ウォーク	1	0.0048309179
短縮	1	0.0048309179
音楽	1	0.0048309179
困難	1	0.0048309179
製	1	0.0048309179
